date_time,demand,scaled_temp,forecast,base_forecasts
2021-10-27 20:00:00,20952.32,0.06125582575980486,20769.303361607643,20880.56714837562
2021-10-27 21:00:00,20291.17,0.02803430229945359,20380.97204404571,20494.6743982693
2021-10-27 22:00:00,19508.85,-0.030103363756161083,19517.40878699336,19644.982017445884
2021-10-27 23:00:00,18699.59,-0.09654641067686354,18771.632304317747,18821.980645512587
2021-10-28 00:00:00,17869.01,-0.11315717240703917,17691.022548426783,17933.931986404525
2021-10-28 01:00:00,17498.3,-0.15468407673247822,17406.472757733958,17507.966137372612
2021-10-28 02:00:00,17332.76,-0.2045163619230051,16958.9940739487,17336.774704509004
2021-10-28 03:00:00,17353.94,-0.22112712365318066,16942.035872421486,17286.83203126533
2021-10-28 04:00:00,17494.95,-0.2792647897087953,17264.032125700724,17494.912274768063
2021-10-28 05:00:00,17917.31,-0.27095940884370756,17616.62057154492,17823.499680041612
2021-10-28 06:00:00,18907.17,-0.2377378853833563,18442.618145246764,18705.65605853034
2021-10-28 07:00:00,20866.58,-0.24604326624844414,20533.834998234004,20626.04323752947
2021-10-28 08:00:00,22206.2,-0.18790560019282948,21780.93399919774,21906.600628214102
2021-10-28 09:00:00,22153.17,-0.15468407673247822,21915.71638220744,22056.972284670854
2021-10-28 10:00:00,21476.23,-0.06332488721651235,21317.725640750108,21567.98979918953
2021-10-28 11:00:00,20991.58,0.05295044489471693,20642.171967130078,21078.756455928065
2021-10-28 12:00:00,20435.2,0.12769887268050722,20276.168776363967,20850.12112351957
2021-10-28 13:00:00,19976.05,0.14430963441068295,19727.03669698473,20232.402135391432
2021-10-28 14:00:00,19446.98,0.20244730046629755,19316.701111772138,19658.975257803366
2021-10-28 15:00:00,19101.66,0.21075268133138533,18819.891236137,19184.037648821424
2021-10-28 16:00:00,18980.04,0.11939349181541946,19114.408429484207,19505.30957926224
2021-10-28 17:00:00,19471.23,-0.046714125486336716,20034.607206770048,20388.335899983613
2021-10-28 18:00:00,20602.74,-0.13807331500230258,21541.12142316067,21465.283748533322
2021-10-28 19:00:00,21413.14,-0.24604326624844414,22218.795456833057,21983.203344597765
2021-10-28 20:00:00,21155.98,-0.11315717240703917,21631.1234865161,21531.41076924022
2021-10-28 21:00:00,20744.9,-0.22112712365318066,20755.857700063596,20985.555873369176
2021-10-28 22:00:00,20002.41,-0.2792647897087953,20298.93841729711,20394.23460230107
2021-10-28 23:00:00,19204.44,-0.33740245576441,19480.520129226526,19593.655456010638
2021-10-29 00:00:00,18430.05,-0.37062397922476126,18664.940959582214,18854.752739067844
2021-10-29 01:00:00,18031.98,-0.37892936008984907,18346.775019981313,18473.118399062314
2021-10-29 02:00:00,17948.24,-0.45367778787563934,18028.513963771264,18488.558354130117
2021-10-29 03:00:00,17948.48,-0.4952046922010784,18094.31410588068,18480.21215993197
2021-10-29 04:00:00,18117.21,-0.4952046922010784,18380.98403943351,18657.43533136689
2021-10-29 05:00:00,18557.32,-0.5201208347963419,18693.555949366564,18991.26906176084
2021-10-29 06:00:00,19615.91,-0.553342358256693,19725.34677913605,20152.66520937462
2021-10-29 07:00:00,21545.58,-0.5201208347963419,21853.759305169286,22126.307373613785
2021-10-29 08:00:00,22919.24,-0.32079169403423435,22978.330332372156,23118.499852550154
2021-10-29 09:00:00,22667.85,-0.16298945759756606,22306.096593437698,22433.745220771234
2021-10-29 10:00:00,21720.61,-0.021797982891073302,21342.87613190124,21568.59866991683
2021-10-29 11:00:00,20865.88,0.0861719683550682,20628.096653627723,21064.286894814315
2021-10-29 12:00:00,20223.34,0.20244730046629755,20135.769860465156,20594.083776727934
2021-10-29 13:00:00,19625.71,0.2771957282520878,19468.0447922793,20010.64946046837
2021-10-29 14:00:00,19210.96,0.3602495369029659,19059.636825770525,19406.499010974865
2021-10-29 15:00:00,18733.46,0.3685549177680537,18740.22645903822,19112.98091411735
2021-10-29 16:00:00,18612.37,0.3104172517124391,18887.62399673905,19189.589591611795
2021-10-29 17:00:00,18948.29,0.06956120662489264,19627.728415395388,19981.83246970844
2021-10-29 18:00:00,19884.29,-0.030103363756161083,20676.62449448217,21024.136712421197
2021-10-29 19:00:00,20391.23,0.06125582575980486,20726.151846231285,21020.041810465656
2021-10-29 20:00:00,20026.71,0.05295044489471693,20796.988598362037,20997.552647088636
2021-10-29 21:00:00,19583.52,-0.038408744621248936,20476.170286606113,20591.957047159816
2021-10-29 22:00:00,18978.68,-0.12146255327212702,19812.965672821538,19906.69431616538
2021-10-29 23:00:00,18328.5,-0.18790560019282948,19035.486789089668,19173.391840673146
2021-10-30 00:00:00,17595.69,-0.25434864711353194,18031.504090519866,18361.043225001296
2021-10-30 01:00:00,17179.4,-0.295875551438971,17816.07511878682,18061.593941322262
2021-10-30 02:00:00,17055.34,-0.3872347409549368,17399.23852895309,17797.48552901327
2021-10-30 03:00:00,17048.96,-0.4038455026851125,17531.185376900463,17857.6073112588
2021-10-30 04:00:00,17122.15,-0.37062397922476126,17700.260301678216,17860.67106940684
2021-10-30 05:00:00,17491.91,-0.32079169403423435,17725.51114667625,17908.481480592018
2021-10-30 06:00:00,18025.5,-0.30418093230405874,17971.011010299564,18454.482040425464
2021-10-30 07:00:00,18919.55,-0.3124863131691466,19108.47029217533,19770.448775527384
2021-10-30 08:00:00,19865.34,-0.21282174278809288,19934.939111053423,20500.831827342434
2021-10-30 09:00:00,20555.94,-0.038408744621248936,20026.65758061358,20335.48995769637
2021-10-30 10:00:00,20810.58,0.04464506402962915,20219.414167708626,20450.905396329672
2021-10-30 11:00:00,20777.62,0.12769887268050722,19859.775037721876,20176.962753330186
2021-10-30 12:00:00,20524.4,0.21075268133138533,19466.089353681837,20022.335448931262
2021-10-30 13:00:00,20124.59,0.21905806219647309,19387.480102536047,19829.948103724804
2021-10-30 14:00:00,19756.27,0.3104172517124391,19023.745766630338,19397.905373015692
2021-10-30 15:00:00,19401.06,0.2938064899822634,18739.98503965423,19069.550855200643
2021-10-30 16:00:00,19261.8,0.28550110911717563,18573.003265708343,18918.43620966637
2021-10-30 17:00:00,19726.6,0.22736344306156103,18954.89774349381,19387.861706137857
2021-10-30 18:00:00,20331.66,0.20244730046629755,19956.939611608912,20169.965679635003
2021-10-30 19:00:00,20241.06,0.17753115787103405,20304.96084731723,20281.412499170918
2021-10-30 20:00:00,19604.71,0.15261501527577073,19645.324128796397,19928.061246336067
2021-10-30 21:00:00,18991.88,0.16922577700594627,18679.673748643007,19174.00472431607
2021-10-30 22:00:00,18500.58,0.16092039614085848,17959.180813738472,18309.228707527804
2021-10-30 23:00:00,17747.44,0.16092039614085848,17150.90926741287,17396.2788086421
2021-10-31 00:00:00,17050.34,0.136004253545595,16608.71969413655,16771.183856762334
2021-10-31 01:00:00,16714.67,0.06956120662489264,16339.411266383066,16471.155407460043
2021-10-31 02:00:00,16488.17,0.05295044489471693,16163.046030408539,16331.849937277442
2021-10-31 03:00:00,16328.69,0.04464506402962915,16002.04565157542,16160.121211859014
2021-10-31 04:00:00,16354.87,0.02803430229945359,16166.28741924378,16232.985216363457
2021-10-31 05:00:00,16447.84,0.0031181597041901074,16337.092778212946,16415.15876819844
2021-10-31 06:00:00,16739.38,0.011423540569277886,16523.46595560312,16765.365822472617
2021-10-31 07:00:00,17409.17,-0.005187221160897672,17168.522258543984,17584.825098029793
2021-10-31 08:00:00,18173.28,-0.013492602025985451,18139.4864948507,18552.203931885324
2021-10-31 09:00:00,19008.1,-0.021797982891073302,19293.63192658272,19513.235657651756
2021-10-31 10:00:00,19847.56,-0.005187221160897672,19885.654436282482,20061.749377490327
2021-10-31 11:00:00,20300.24,0.019728921434365814,20016.042018929016,20326.472321301775
2021-10-31 12:00:00,20530.22,0.05295044489471693,19713.79030735933,20392.989090351533
2021-10-31 13:00:00,20412.6,0.07786658748998042,19648.680175948743,20229.942781061527
2021-10-31 14:00:00,20047.52,0.06956120662489264,19417.79793048111,19907.04963786362
2021-10-31 15:00:00,19770.15,0.11108811095033168,19104.640565979364,19580.020805923676
2021-10-31 16:00:00,19778.83,0.1027827300852439,19100.439254019748,19501.13385330499
2021-10-31 17:00:00,20181.97,0.1027827300852439,19483.131766033122,19955.504703250932
2021-10-31 18:00:00,20560.37,0.16922577700594627,20283.180483398664,20565.875454765624
2021-10-31 19:00:00,20362.0,0.20244730046629755,20281.437937812545,20440.30086222133
2021-10-31 20:00:00,19819.78,0.22736344306156103,19847.601384124606,19783.172209040324
2021-10-31 21:00:00,19245.07,0.2439742047917366,19025.568288501287,18945.159494746713
2021-10-31 22:00:00,18470.11,0.2356688239266488,18052.426751457482,18247.115237308935
2021-10-31 23:00:00,17566.84,0.22736344306156103,17283.904540183994,17353.255829009893
2021-11-01 00:00:00,16803.05,0.19414191960120977,16908.468998328066,16927.660954464423
2021-11-01 01:00:00,16194.97,0.16922577700594627,16391.194931598373,16436.985053315595
2021-11-01 02:00:00,15938.52,0.19414191960120977,16024.757680116922,16106.441130962852
2021-11-01 03:00:00,15936.82,0.16922577700594627,15734.14016938009,15868.094429202716
2021-11-01 04:00:00,16018.19,0.17753115787103405,15888.89511696726,15986.759592160555
2021-11-01 05:00:00,16321.23,0.136004253545595,16216.221268055651,16300.681661094535
2021-11-01 06:00:00,17216.8,-0.021797982891073302,17301.75632069588,17403.02502412223
2021-11-01 07:00:00,18961.9,-0.10485179154195139,18862.471335778522,18863.91161798304
2021-11-01 08:00:00,20529.62,-0.08824102981177576,20146.76473424466,20107.480470881528
2021-11-01 09:00:00,20752.85,-0.038408744621248936,20350.775444015966,20426.223196168685
2021-11-01 10:00:00,20412.22,0.0031181597041901074,20403.57083735946,20581.703003672254
2021-11-01 11:00:00,20255.71,0.06125582575980486,20269.77247706109,20566.155203618135
2021-11-01 12:00:00,20042.13,0.11939349181541946,20110.54590001713,20545.677061562412
2021-11-01 13:00:00,19751.05,0.21075268133138533,19510.74186868539,20019.056297540472
2021-11-01 14:00:00,19440.0,0.2688903473870001,18979.162088911053,19322.896557590786
2021-11-01 15:00:00,19010.99,0.22736344306156103,18695.86769934337,19114.4481618877
2021-11-01 16:00:00,19036.84,0.15261501527577073,19014.234611095213,19359.76765603487
2021-11-01 17:00:00,19727.14,0.06956120662489264,19698.32625679891,20060.96827916212
2021-11-01 18:00:00,21053.29,-0.06332488721651235,20931.59965609759,21182.000988969026
2021-11-01 19:00:00,21728.73,-0.038408744621248936,21214.619610742877,21148.23358939371
2021-11-01 20:00:00,21382.76,-0.055019506351424496,20935.21738766089,21072.645209844617
2021-11-01 21:00:00,20787.74,-0.11315717240703917,20294.991830831597,20505.792731755228
2021-11-01 22:00:00,19969.07,-0.2045163619230051,19588.320690219913,19845.07802400201
2021-11-01 23:00:00,19089.03,-0.30418093230405874,18889.586424310375,19097.604767766497
2021-11-02 00:00:00,18284.58,-0.30418093230405874,17900.30237557317,18207.075124752937
2021-11-02 01:00:00,17826.16,-0.36231859835967345,17596.249797371707,17858.71110711409
2021-11-02 02:00:00,17718.55,-0.3955401218200247,17150.781900267088,17524.56515414942
2021-11-02 03:00:00,17702.44,-0.37892936008984907,17133.981789755013,17438.837647054588
2021-11-02 04:00:00,17815.44,-0.42876164528037586,17341.368789517473,17669.345529580947
2021-11-02 05:00:00,18202.98,-0.4204562644152881,17632.902254044755,17939.549306220826
2021-11-02 06:00:00,19113.39,-0.44537240701055153,18619.591446074686,19013.535131759694
2021-11-02 07:00:00,21020.39,-0.47859393047090276,20696.795097968017,21136.507402541192
2021-11-02 08:00:00,22481.3,-0.2875701705738832,22189.643231450966,22319.153955471447
2021-11-02 09:00:00,22313.85,-0.14637869586739044,21761.757931746874,21856.228100938235
2021-11-02 10:00:00,21512.14,-0.07993564894668798,21297.042917611718,21520.889196310196
2021-11-02 11:00:00,20844.74,-0.046714125486336716,20978.392703345147,21329.4087435022
2021-11-02 12:00:00,20576.54,-0.013492602025985451,20736.60845537315,21329.279484687115
2021-11-02 13:00:00,20294.32,-0.021797982891073302,20633.388553243407,21252.55973684014
2021-11-02 14:00:00,20178.02,0.0031181597041901074,20469.059888954336,20961.78070317168
2021-11-02 15:00:00,19812.05,-0.07163026808160013,20164.095511687403,20708.276268455902
2021-11-02 16:00:00,19736.64,-0.10485179154195139,20149.51702722889,20738.830070705946
2021-11-02 17:00:00,20804.73,-0.15468407673247822,20692.35152525454,21337.1136131707
2021-11-02 18:00:00,22308.79,-0.17960021932774162,21871.641067799083,22182.97084027978
2021-11-02 19:00:00,22665.03,-0.3290970748993222,23009.944726336824,22978.09712783461
2021-11-02 20:00:00,22283.48,-0.2875701705738832,22436.489869037025,22414.449850994348
2021-11-02 21:00:00,21624.34,-0.32079169403423435,21727.472756188447,21871.275171483252
2021-11-02 22:00:00,20747.41,-0.33740245576441,20805.342240545262,20974.704865902175
2021-11-02 23:00:00,19865.98,-0.35401321749458564,19785.825883542067,19991.97914062077
2021-11-03 00:00:00,18935.94,-0.33740245576441,18805.543243443855,19031.26829034927
2021-11-03 01:00:00,18627.06,-0.37892936008984907,18335.75977310486,18647.65359416099
2021-11-03 02:00:00,18470.77,-0.3955401218200247,18202.80253789422,18566.79134822518
2021-11-03 03:00:00,18430.39,-0.37892936008984907,18063.707144409902,18381.082433570144
2021-11-03 04:00:00,18598.89,-0.4370670261454637,18276.330660833595,18584.111993982875
2021-11-03 05:00:00,19071.81,-0.44537240701055153,18577.312515100206,18828.00430029237
2021-11-03 06:00:00,20170.55,-0.5201208347963419,19784.612605240018,20188.91210482544
2021-11-03 07:00:00,22043.74,-0.5201208347963419,21936.16574374662,22275.397010541536
2021-11-03 08:00:00,23460.17,-0.37892936008984907,23273.916392362073,23418.852932956335
2021-11-03 09:00:00,23471.73,-0.37892936008984907,23231.605749364848,23363.291210983833
2021-11-03 10:00:00,22844.64,-0.2875701705738832,22277.35666473549,22549.528098870516
2021-11-03 11:00:00,21996.75,-0.2045163619230051,21622.235696415606,22051.768518673718
2021-11-03 12:00:00,21375.18,-0.19621098105791726,21200.33570372316,21938.737026107043
2021-11-03 13:00:00,20938.25,-0.17129483846265384,20935.119303876632,21671.53886859758
2021-11-03 14:00:00,20376.86,-0.22112712365318066,20798.360262913917,21348.108823404174
2021-11-03 15:00:00,20200.27,-0.22943250451826852,20551.098754061717,21168.845654928813
2021-11-03 16:00:00,20472.57,-0.27095940884370756,20322.842508039303,21025.331110335053
2021-11-03 17:00:00,21196.75,-0.4370670261454637,21346.511818508967,22057.787281273562
2021-11-03 18:00:00,22838.47,-0.42876164528037586,22626.718937608413,23014.25645683772
2021-11-03 19:00:00,23513.78,-0.48689931133599057,22903.38791140652,23315.235231551123
2021-11-03 20:00:00,23147.03,-0.5035100730661661,22638.90122669351,23071.086890020004
2021-11-03 21:00:00,22703.96,-0.7028392138282736,22512.30752868663,23145.428221682567
2021-11-03 22:00:00,22074.92,-0.6779230712330101,21965.1576451482,22383.926795635376
2021-11-03 23:00:00,21171.31,-0.6613123095028346,21025.564693391272,21366.957501372875
2021-11-04 00:00:00,20339.83,-0.810809165074415,20285.734351869716,20828.39301056827
2021-11-04 01:00:00,20228.72,-0.8274199268045908,19855.30552882765,20362.005874009246
2021-11-04 02:00:00,20176.65,-0.9104737354554688,19788.246249921605,20385.193800769684
2021-11-04 03:00:00,20274.54,-0.8938629737252932,19895.09617821984,20397.59914989731
2021-11-04 04:00:00,20459.99,-0.8689468311300298,20026.807687334313,20483.13601806571
2021-11-04 05:00:00,20907.82,-0.9270844971856443,20733.088381427893,21181.36526124304
2021-11-04 06:00:00,22110.06,-0.8274199268045908,21420.66049243673,22009.777861457496
2021-11-04 07:00:00,24242.25,-0.8938629737252932,23564.620961176828,24378.552846067294
2021-11-04 08:00:00,25712.94,-0.6945338329631858,25232.89834653538,25541.965951878068
2021-11-04 09:00:00,25326.72,-0.48689931133599057,24340.43013624289,24511.889423462333
2021-11-04 10:00:00,24115.46,-0.3872347409549368,23712.248142423225,23955.159751709947
2021-11-04 11:00:00,23038.59,-0.32079169403423435,22815.212503418083,23268.59216934325
2021-11-04 12:00:00,22342.4,-0.25434864711353194,22037.724107855614,22805.467761784046
2021-11-04 13:00:00,21959.84,-0.19621098105791726,21371.572226337204,22126.22930363853
2021-11-04 14:00:00,21599.38,-0.27095940884370756,20858.179815486827,21495.5995687687
2021-11-04 15:00:00,21228.74,-0.19621098105791726,20737.67112972821,21405.88918329642
2021-11-04 16:00:00,21450.91,-0.295875551438971,20752.484752732667,21480.724433102092
2021-11-04 17:00:00,22264.16,-0.37062397922476126,21650.249845551563,22336.713835963394
2021-11-04 18:00:00,23773.17,-0.33740245576441,22837.08684377467,23459.88371162854
2021-11-04 19:00:00,24331.09,-0.37892936008984907,23886.814800478955,23709.911477095146
2021-11-04 20:00:00,23877.76,-0.44537240701055153,23492.98945537463,23503.451821492275
2021-11-04 21:00:00,23196.89,-0.6031746434472199,22802.002867555402,23211.85843748115
2021-11-04 22:00:00,22497.85,-0.6530069286377467,22452.493452835763,22757.97834697072
2021-11-04 23:00:00,21616.68,-0.769282260748976,21679.34817243723,22083.013774574054
2021-11-05 00:00:00,20708.98,-0.7111445946933614,20588.786183602562,21112.92028083688
2021-11-05 01:00:00,20368.96,-0.7028392138282736,20182.3116859297,20550.058830234266
2021-11-05 02:00:00,20292.19,-0.6779230712330101,19879.44177825075,20334.246025218825
2021-11-05 03:00:00,20311.21,-0.6363961669075711,19884.703954347282,20242.883427907604
2021-11-05 04:00:00,20440.52,-0.6280907860424834,19918.21682188065,20235.914645983714
2021-11-05 05:00:00,20851.04,-0.553342358256693,20276.070093963448,20551.906764717834
2021-11-05 06:00:00,21861.29,-0.5865638817170443,21371.926069030324,21724.915065253335
2021-11-05 07:00:00,23544.18,-0.5782585008519565,23647.080031743775,23984.439715550958
